"CUSTOMER_ID","NAME","CITY","SIGNUP_DATE","TARIFF_ID","TARIFF_ID","NAME","MONTHLY_FEE","DATA_LIMIT","MINUTE_LIMIT","SMS_LIMIT"
9720,Yasemin,MARDİN,2027-05-02 00:00:00.000,4,4,Kobiye Destek,350,20480,1000,1000
9726,Sevim,DÜZCE,2026-09-04 00:00:00.000,4,4,Kobiye Destek,350,20480,1000,1000
9735,Fatih,SAMSUN,2026-08-02 00:00:00.000,4,4,Kobiye Destek,350,20480,1000,1000
9742,Özlem,HAKKARİ,2025-04-08 00:00:00.000,4,4,Kobiye Destek,350,20480,1000,1000
9744,İbrahim,KIRKLARELİ,2027-11-02 00:00:00.000,4,4,Kobiye Destek,350,20480,1000,1000
9745,Elif,TEKİRDAĞ,2026-08-03 00:00:00.000,4,4,Kobiye Destek,350,20480,1000,1000
9749,Halil,AĞRI,2027-05-05 00:00:00.000,4,4,Kobiye Destek,350,20480,1000,1000
9753,Yusuf,TRABZON,2026-03-07 00:00:00.000,4,4,Kobiye Destek,350,20480,1000,1000
9754,Hülya,BARTIN,2026-07-03 00:00:00.000,4,4,Kobiye Destek,350,20480,1000,1000
9756,Esra,ANTALYA,2028-02-03 00:00:00.000,4,4,Kobiye Destek,350,20480,1000,1000
9757,Ali,İSTANBUL,2027-02-12 00:00:00.000,4,4,Kobiye Destek,350,20480,1000,1000
9758,Rabia,UŞAK,2026-03-09 00:00:00.000,4,4,Kobiye Destek,350,20480,1000,1000
9760,Büşra,SİNOP,2027-07-07 00:00:00.000,4,4,Kobiye Destek,350,20480,1000,1000
9771,Ayşegül,KARABÜK,2025-11-10 00:00:00.000,4,4,Kobiye Destek,350,20480,1000,1000
9777,Sevim,DİYARBAKIR,2026-11-06 00:00:00.000,4,4,Kobiye Destek,350,20480,1000,1000
9781,Hülya,MALATYA,2025-11-11 00:00:00.000,4,4,Kobiye Destek,350,20480,1000,1000
9791,Songül,DENİZLİ,2027-04-05 00:00:00.000,4,4,Kobiye Destek,350,20480,1000,1000
9794,Fatma,DİYARBAKIR,2026-12-08 00:00:00.000,4,4,Kobiye Destek,350,20480,1000,1000
9796,Aynur,BİNGÖL,2026-06-01 00:00:00.000,4,4,Kobiye Destek,350,20480,1000,1000
9802,Serkan,ESKİŞEHİR,2025-06-07 00:00:00.000,4,4,Kobiye Destek,350,20480,1000,1000
9805,Emre,KIRIKKALE,2026-06-03 00:00:00.000,4,4,Kobiye Destek,350,20480,1000,1000
9808,Mahmut,KİLİS,2026-06-11 00:00:00.000,4,4,Kobiye Destek,350,20480,1000,1000
