"CUSTOMER_ID","NAME","CITY","SIGNUP_DATE","TARIFF_ID"
9548,Havva,BARTIN,2025-01-05 00:00:00.000,4
9298,Serkan,BAYBURT,2025-01-05 00:00:00.000,2
9021,Kübra,GİRESUN,2025-01-05 00:00:00.000,1
8877,Furkan,EDİRNE,2025-01-05 00:00:00.000,4
8765,Dilek,BATMAN,2025-01-05 00:00:00.000,1
8196,Havva,BİNGÖL,2025-01-05 00:00:00.000,3
7992,Furkan,ŞIRNAK,2025-01-05 00:00:00.000,2
7851,Hacer,ARDAHAN,2025-01-05 00:00:00.000,4
7606,Burak,YOZGAT,2025-01-05 00:00:00.000,4
7336,Zehra,KAHRAMANMARAŞ,2025-01-05 00:00:00.000,2
6409,Emre,DÜZCE,2025-01-05 00:00:00.000,1
5712,Rabia,BATMAN,2025-01-05 00:00:00.000,1
5774,Kübra,HAKKARİ,2025-01-05 00:00:00.000,1
5482,İsmail,BOLU,2025-01-05 00:00:00.000,4
5564,Abdullah,KIRKLARELİ,2025-01-05 00:00:00.000,1
5419,Songül,KONYA,2025-01-05 00:00:00.000,4
5169,Yağmur,HATAY,2025-01-05 00:00:00.000,3
5183,Hüseyin,ERZURUM,2025-01-05 00:00:00.000,2
5109,Mustafa,AĞRI,2025-01-05 00:00:00.000,3
4889,Mehmet,KOCAELİ,2025-01-05 00:00:00.000,2
4848,Osman,ŞIRNAK,2025-01-05 00:00:00.000,3
4674,Dilek,ARTVİN,2025-01-05 00:00:00.000,1
2643,Mehmet,ESKİŞEHİR,2025-01-05 00:00:00.000,2
2394,Emre,ELAZIĞ,2025-01-05 00:00:00.000,4
1893,Leyla,MERSİN,2025-01-05 00:00:00.000,1
1917,Ayşegül,HAKKARİ,2025-01-05 00:00:00.000,3
875,Özlem,AFYONKARAHİSAR,2025-01-05 00:00:00.000,3
